"service","date","time","message"
"twitter",2021-10-03,22:46:00,"out anjir untung ppkm kalo ppkm angel tuh stadion ya kalo hangus roboh lur face with tears of joy face with tears of joy"
"twitter",2021-07-11,12:39:00,"cgv id min apaka film documentarynya bornfreeonekiss masuk min pls min wing pengin tonton habis ppkm wing janji"
"instagram",2021-08-21,21:05:00,"heran ng kudus rk ng omahku"
"youtube",2021-07-15,14:09:00,"negara kembang syarat give and take"
"twitter",2021-07-03,13:50:00,"sambut ppkm pengin peluk melulu ajar bikin design"
"instagram",2021-09-11,04:08:00,"uang bisnis anti riba police car light cari uang usaha bisnis era bingung bisnis bingung jalan bisnis hadir solusi baik ballot box with check bebas hutang riba ballot box with check hasil tambah hari ballot box with check mocash motor cash mobilio cash pajero sport cash rumah cash harga 1 milyar heavy large circle kredit heavy large circle dp heavy large circle riba insyaallah wasilah bisnis eco racing beli 1paket produk ikhtiar sungguh sungguh wujud eco racing produk aditif bahan bakar baik no 1 dunia butuh orang uang usaha yakin uang sukses gantung kita ambil uang temu jawab komunitas anti riba pt best klik link bio instagram bawah daftar ecoracing sinergy daftar ecoracing sinergy daftar langsung hubung mobile phone with arrow 087853102044 go berkah no riba raised fist"
"instagram",2021-08-05,11:33:00,"assalamu alaikum warahmatullahi wabarakatuh sparkles salam lestari seedling salam konservasi seedling halo sobat mahasiswa info gembira sparkles sparkles hmj biologi semut merah proudly present confetti ball lomba esai simbiosis confetti ball tema upaya bangun generasi milenial jiwa ulul albab integrasi islam sains raising hands come and join with us raising hands pushpin syarat tentu 1 serta mahasiswa aktif d3 d4 s1 pts ptn indonesia bukti scan ktm 2 tim 1 3 orang 1 orang ketua kelompok anggota kelompok 3 serta ikut individu nama ketua tim anggota 1 lembar orisinalitas karya tulis nama 4 tim kirim maksimal 1 karya tulis 5 serta bidang ilmu beda asal instansi 6 naskah kirim karya asli publikasi diikutsertakan event lomba 7 serta wajib isi syarat lembar orisinalitas lampir 8 bentuk tentu putus dewan juri sifat mutlak ganggu gugat pushpin sub tema teknologi didik lingkung sehat komunikasi pushpin timeline daftar kumpul gelombang 1 25 juli 10 agustus 2021 daftar kumpul gelombang 2 11 20 agustus 2021 juri 21 27 agustus 2021 umum juara 29 agustus 2021 pushpin biaya daftar gelombang 1 rp 20 000 gelombang 2 rp 30 000 pushpin hadiah juara 1 uang bina e sertifikat juara 2 uang bina e sertifikat juara 3 uang bina e sertifikat best paper uang bina e sertifikat serta e sertifikat pushpin link daftar pushpin link buku pandu telephone cp 089646315931 den 085704957360 navel more info instagram simbiosis biouinmlg email simbiosis2021 uinmlg gmail com"
"twitter",2021-10-13,14:45:00,"november blooms selamat siang kak informasi ppkm interval berangkat 1 jam ya kak start 02 00 sih 18 00 terimakasih"
"instagram",2021-07-30,12:31:00,"min ppkm kerja tutup gaji 7 tinggal bingung doa ya allah lapang kubur hamba amin doa muslimah"
"twitter",2021-07-25,19:58:00,"ppkm henti argumen kasihan rakyat miskin cari duit kaum kaum lapak sebelah bosan rumah"
"youtube",2021-09-14,18:57:00,"ppkm jawa bal panjang evaluasi minggu 140 9 lengkap youtu be u3liglbpcze"
"twitter",2021-08-15,15:53:00,"langsung ya bahan bahan awak serah kawan awak ganteng abang dikta sila pegang kamera bang hati hati jatuh bangkrut hehe undur"
"twitter",2021-07-06,06:01:00,"fak ppkm bm empal gentong h apud"
"twitter",2021-07-04,17:59:00,"informasi titik sekat jalan tol jasa marga group rangka dukung ppkm darura"
"instagram",2021-08-04,09:53:00,"teknik sipil arsitektur fokus bangun tanah"
"twitter",2021-07-02,19:53:00,"ingub y no 17 instr 2021 pemberlakuan ppkm darurat daerah istimewa yogyakarta instruksi berlaku"
"instagram",2021-07-11,15:43:00,"nasib nasibb"
"twitter",2021-07-03,15:03:00,"berkah ppkm nyentuh barang"
"instagram",2021-09-30,12:17:00,"menteri koperasi usaha tengah republik indonesia menteri pemerintah indonesia bidang urus koperasi usaha tengah kemenkop ukm luncur logo bawa misi ubah akselerasi transformasi koperasi umkm sih logo baru makna balik logo simak video ya lupa like komen and share teman teman moga informasi manfaat sparkles"
"instagram",2021-07-29,12:09:00,"sulit riau anak anak deh masuk sekolah jebak kampung crying face loudly crying face"
"instagram",2021-08-23,13:49:00,"daerah ppkm level 4 sila gelar pembelajaran tatap muka unik saking ajar tatap muka siswa pakai baju sd ajar pemerintah kabupaten semarang adakan pembelajaran tatap muka ptm rentak senin 23 8 2021 laksana ptm 16 agustus 2021 kabupaten semarang masuk pemberlakuan batas giat masyarakat ppkm level 3 baca berita lengkap ig stories tribunsumsel ya link"
"twitter",2021-07-30,15:16:00,"tau tata tertib yuk simak infografis"
"twitter",2021-07-05,11:14:00,"humaskedirires polsekkandat bangsaygsujud sukses laksana ppkm darurat patuh prokes ya lupa dukung vaksinasi pandemi g sosialisasi edukasi masyarakat"
"instagram",2021-07-18,12:27:00,"lahyo jane corona diagep ora sono rakyat cilek seng soro"
"instagram",2021-08-15,11:10:00,"b menteri g8 g1 menangin saldo gopay gratis follow simantap ikut kuis lupa ajak teman teman ikut kuis ya pergi kebun nanam jagung pulang beli sandal bengong bingung mending ikut kuis simantap jamin seru 78isman amalyavayla nitaoey 1991"
"twitter",2021-07-12,08:23:00,"uyokback takut covid masyarakat pemerintah percaya turun lapang warga takut covid takut hasil smiling face with sunglasses smiling face with sunglasses"
"twitter",2021-10-09,09:43:00,"ompri yant jiakh"
"instagram",2021-09-09,18:44:00,"corona tuh ya wkkw"
"twitter",2021-09-04,21:51:00,"oh indah ppkm wakakakakak"
"twitter",2021-07-16,18:29:00,"vaksinasi usia 18 5 juli 2021 pasca badan awas obat makan izin guna vaksin anak ppkm cegah sebar"
"twitter",2021-08-03,07:53:00,"kompastv butuh proyek"
"twitter",2021-07-08,07:52:00,"kst anggar ham berat ppkm atas covid"
"youtube",2021-09-29,12:10:00,"rindu ziarah siksa ppkm henti"
"youtube",2021-07-18,15:58:00,"duit duit sempat jadi duit"
"twitter",2021-07-01,20:48:00,"habis closingan jalan jakarta sepi senyap asa ppkm darurat"
"instagram",2021-07-14,21:37:00,"diam rumah kalo olahraga stay safe keep the 5m protocol face with medical mask dji mavic air"
"twitter",2021-08-08,09:36:00,"hkerambitan tabananpolres isolasi pusat selamat"
"twitter",2021-07-23,20:07:00,"infodrakor id appay jay wkwk"
"twitter",2021-08-25,18:16:00,"ayo dukung bijak pemerintah cegah sebar covid 19 patuh bijak ppkm vaksinasi efektif lindung"
"twitter",2021-08-02,19:35:00,"presiden joko widodo jokowi umum ppkm level 4 lanjut kabupaten kota tanggal 9 agustus 2021 alas"
"twitter",2021-07-18,21:20:00,"collegemenfess tonton ajar bhsa inggris doang pengin produktif tau apa"
"twitter",2021-08-08,23:31:00,"giat atur pemeriksaan dokumen rangka ppkm lv 4 pos check poin exit tol batas mantingan pos banyuurip"
"instagram",2021-07-11,06:25:00,"looks great hundred points"
"twitter",2021-07-26,02:29:00,"5 ppkm level 4 y harap tertib moga nek meninimalisir positif sih 19 operasi ppkm level 4 minggu 25 juli 2021 satgaspamgakkum warna dinamika terap prokes atur ppkm"
"instagram",2021-07-15,12:05:00,"desain premium gaya stylish baterai tahan oppo a16 teman aktivitas hari ayok dapat gadget impi mu store handoyo mas cellular heavy check mark kredit survey syarat ektp heavy check mark tukar harga baik heavy check mark cod rumah gratis ongkir store factory handoyo mas cellular jl pintu barat pasar wonokriyo no 54a gombong wa 085329063000 factory handoyo mas cellular jl yos sudarso no 326 timur poslantas gombong wa 081391642223 factory handoyo mas cellular jl revolusi no 42 karanganyar pasar karanganyar barat indomaret wa 081391324300 factory handoyo mas cellular jl pahlawan no 60 kebumen wa 081227529500 factory hm kebumen jl pahlawan no 61 kebumen wa 081227529500 factory handoyo mas cellular jl pahlawan no 63 kebumen wa 081227529500"
"instagram",2021-08-01,12:41:00,"aliansi dagang kota bandung sambut buka pasar kota bandung sabtu 31 juli 2021 pasar kota bandung buka kelola perumda pasar juara kota bandung koordinator aliansi dagang kota bandung ari dagang kota bandung bahagia buka aktivitas jual pasar dagang janji taat atur cantum perwal nomor 78 2021 salah satu protokol sehat dagang sambut taat atur prokes ketat on air radio prfm 107 5 news channel jumat 30 juli 2021 tari buka pasar kota bandung angin segar dagang pasal laku ppkm darurat pekan kondisi ekonomi dagang menkhawatirkan sumber prfmnews id"
"twitter",2021-08-16,21:32:00,"kadang bingung teman sambat ppkm storynya ngopi ngegame jalan"
"instagram",2021-08-16,23:47:00,"lupa"
"instagram",2021-07-06,10:15:00,"lb purple heart"
"instagram",2021-08-21,10:25:00,"best seller digital led tumbler baru hits banget canggih tahan suhu panas dingin indikator suhu digital bagi tutup termos elegan nih peeps harga murah instagram fire fire in frame digital led tumbler 500ml stainless steel anti karat tahan suhu 8 12 jam order wa 081289732175"
"twitter",2021-07-16,05:01:00,"uyokback manusia racun ubur ubur"
"twitter",2021-09-12,11:02:00,"kabid humas polda jabar bansos ppkm mikro gencar polisi paket beras salur buruh bengkel nuansarealitanews com 2021 09 kabid"
"instagram",2021-08-10,22:00:00,"hadeh tipu smart moga sih tipu cepat2 taubat deh tipu moga rejekinya tambah please percaya mending investasi emas saham tanah"
"instagram",2021-07-08,18:00:00,"halo guys kabar moga sehat semangat ya teman teman setia kartilka accessories kabar gembira jalan ppkm rumah biar semangat smiling face with heart eyes white medium star promo gratis ongkir belanja minimal 100 ribu fire white medium star promo berlaku 31 juli 2021 fire ppkm toko fisik offline tutup ya guys layan transaksi online kartika accessories sedia shopee tokopedia instagram facebook telegram dll jaga sehat prokes ya ok hand taat atur pemerintah rumah ok hand belanja rumah belanja online face blowing a kiss handbag marketplace heavy check mark shopee tokopedia kartikaacchp delivery order via white heavy check mark gojek white heavy check mark grab white heavy check mark ekspedisi terima kasih happy shopping"
"twitter",2021-07-18,16:22:00,"ferdinandhaean3 jilat fer squinting face with tongue squinting face with tongue face with tears of joy face with tears of joy face with tears of joy"
"twitter",2021-07-25,22:56:00,"dinduptrv alhamdulillah sih tumpang hasil duit anak istri lo posting doang bantu kagak kalo lo kasih duit sih biar pulang biar ikut atur ajaib pemerentah"
"twitter",2021-08-03,22:56:00,"ppkm diperpanjng level pedas jeletot melotot"
"instagram",2021-08-11,09:08:00,"panjang jalan jalan libur tenang bawa vibes nya jari jari bawa pantai nya bareng cantik banget desain warna pas banget kangen banget holiday jalan jalan pantai yuk cabang create your own gorgeous nails design and maka your mood good everyday felize beauty bar nails lash brow wax skin round pushpin kedoya jakarta barat round pushpin pluit jakarta utara round pushpin sumarecon bekas for an appointment orang inquiries please contact us via direct message orang whatsapp 0818 0818 2623 call 021 2256 2476"
"twitter",2021-07-19,15:43:00,"ppkm darurat kapolsek cibeber personel polsek cibeber laksana giat baksos bagi beras warga butuh wil c cibeber kab cianjur"
"twitter",2021-07-21,06:26:00,"tempodotco telor pikir cukup butuh sembako dampak covid handling pemda pemda angkat bendera putih pikir nisanak banyak drama"
"twitter",2021-07-18,19:32:00,"ghurem2 plin plan bigini sih ora semangat optimisme lieur"
"twitter",2021-07-27,18:21:00,"buka tiktok isi fyp kuroko no basket fix sih tonton suka anime genre olahraga semenjak zaman psbb ppkm tamat haikyuu voli basket enak renang panah kayak"
"twitter",2021-07-15,12:31:00,"dagangkorea lamaa box tanggal 8 rilis cukai kemarin"
"instagram",2021-09-13,20:38:00,"heehhayoh"
"instagram",2021-08-28,11:03:00,"lawan sulut united senyap podo lawan arema media officer persis solo bryan barcelona jumat 27 8 2021"
"twitter",2021-07-04,16:39:00,"kheri indonesia ppkm darurat"
"twitter",2021-08-23,09:03:00,"tajembanget parah sih ppkm"
"instagram",2021-09-20,18:02:00,"berkah ya mak"
"instagram",2021-10-12,09:48:00,"kampung homestay borobudur homestay budi rahayu herb nih admin tambah rekomendasi homestay area magelang smiling face with heart eyes wa dm admin ya info harga mesan nya nasicovid19"
"instagram",2021-10-18,15:43:00,"padang padangkita com pemberlakuan batas giat masyarakat ppkm kota padang turun level pembelajaran tatap muka ptm batas lanjut sekolah kota padang boleh siswa maka pakai ragam ptm siswa sd sekolah maka pakai bebas level ppkm kota padang turun level 2 umum menteri koordinator menko bidang ekonomi airlangga hartarto status mesti kota padang selenggara ptm kepala nas didik budaya kadisdikbud kota padang habibul fuad sebut kota padang turun level ppkm tunggu intruksi resmi pemerintah pusat bijak sekolah koordinasi wali kota padang hendri septa kait pembelajaran tatap muka surat resmi pemerintah pusat ubah atur sekolah tatap muka ragam bebas habibul hubung padangkita com senin 18 10 2021 putus pemerintah pusat kota padang turun level pemberlakuan ppkm revisi atur berlaku surat resmi pemerintah pusat laku sekolah ragam sekolah pungkas mfz pkt sumber padangkita com"
"twitter",2021-10-16,19:52:00,"aestberry i sok proud of you"
"twitter",2021-10-09,21:50:00,"tumbuh ekonomi yogya presiden lapor 11 persen airlangga damping presiden giat menteri koordinator bidang ekonomi airlangga hartarto"
"instagram",2021-07-27,01:31:00,"sela bete moto ya nyanyi face with tears of joy"
"twitter",2021-07-17,21:28:00,"kompastv susipudjiastuti salpok bintang merah"
"twitter",2021-07-15,14:03:00,"kalo ppkm panjang bebasin mau masyarakat kalo tular n mati ya kubur anggap takdir kalo panjang duga ceos n buruk pemerintah buat serba salah indonesia penting"
"youtube",2021-08-04,15:02:00,"covid 19 angka optimalisasi peran posko ppkm halo covid 19 angka optimalisasi peran posko ppkm bijak pemerintah penanganan pandemi covid 19 tumpu pilar utama protokol sehat 3m upaya 3t vaksinasi pembelajaran naik hari hasil implementasi bijak minggu tiga pemerintah putus panjang pemberlakukan ppkm level 4 hitung tanggal 3 agustus 9 agustus 2021 pemberlakuan ppkm level 4 tanggal 26 juli 2 agustus bawa baik indikator turun hari turun bed occupancy ratio bor tingkat angka sembuh mati atas 1000 mati hari juli angka mati pandemi indonesia 35 000 dasar data satgas tanggal 29 juli 2021 27 03 desa lurah indonesia milik patuh rendah masker 28 36 desa lurah indonesia milik patuh rendah jaga jarak dampak tinggi tingkat tular wilayah optimal fungsi posko desa lurah meminimalisir mati pengaruh patuh protokol sehat penanganan covid 19 indonesia simak dialog narasumber dr dewi nur aisyah ketua bidang data teknologi informasi satgas penanganan covid 19 moderator dr lula kamal sc talk show laksana rabu 4 agustus 2021 14 00 wib daring siar live streaming hak siar pakai media"
"instagram",2021-09-17,10:29:00,"ya makan salad hut pas makan enak pas habis bikin guilty order now from wa 0812 1266 1766"
"twitter",2021-07-06,17:17:00,"ppkm kumpul muda motivasi"
"twitter",2021-09-09,15:35:00,"jakarta dsk ppkm level 3 pakai face with medical mask masker cuci tang jaga jarak syringe vaksin jaga area kerja higienis water electrolyte disinfectant flash sale 70 ribu winking face"
"instagram",2021-09-12,17:05:00,"bosan minyak wangi sahaja minyak wangi halal manfaat jadi ibadah khusyuk mimin kenal minyak wangi jawara kasturi yuk minyak wangi suka rasulullah efek rukiyah jauh jin penasaran harum manfaat jawara kasturi chat admin yuk"
"instagram",2021-07-19,11:12:00,"news pemerintah evaluasi aksa ppkm menko maritim investasi koordinator ppkm darurat jawa bal luhut binsar pandjaitan sebut 2 indikator evaluasi ppkm darurat tambah tingkat isi pasien covid 19 rumah sakit jelas luhut binsar pandjaitan tolak nyata menko bangun manusia budaya muhadjir effendy sebut ppkm darurat panjang juli alas lonjak positif covid 19 menko pmk panjang ppkm kendal pandemi covid 19 kondisi darurat militer kait optimal penanganan pandemi covid 19 pemerintah koordinator ppkm darurat jawa bal luhut binsar pandjaitan maaf masyarakat koordinator ppkm darurat jawa bal lubuk hati maaf rakyat indonesia penanganan ppkm darurat jawa bal optimal konferensi pers virtual keras jajar menteri kepala lembaga kait turun covid 19 varian delta tingkat tular 7 kali varian dominasi covid 19 indonesia jajar menteri kepala lembaga kait keras sebar varian delta turun imbuh luhut pemerintah evaluasi kait putus panjang ppkm darurat jawa bal bilang hasil evaluasi presiden joko widodo jokowi video camera youtube kemenkomarves luhut pandjaitan"
"twitter",2021-07-05,10:55:00,"sosialisasi edukasi masyarakat kait pemberlakuan ppkm darurat terap selamat tingkat covid 19 sosialisasi edukasi masyarakat"
"instagram",2021-07-16,03:44:00,"bantu ppkm abang ganteng doni salmanan viral donasi rp 1 miliar reza arap streaming youtube aksi uang masyarakat langsung jalan bandung video anak muda bagi uang juang jalan ojek online tukang parkir kerja jalan guna jalan"
"twitter",2021-08-20,11:57:00,"jare roji ppkm panjang tua debu"
"instagram",2021-08-26,12:23:00,"suka banget serabi"
"instagram",2021-08-20,17:00:00,"pulang kerja rencana masak rumah yuk beli lauk ayam bakar aneka sop solo kakap bakar garang asem warung ijo mboknarsi ayemtentrem bingung ya kalo jam 4 sore warung tutup sore malam buka warung utama ya tepat gang jl wirotamtomo masuk 50 meter tanda okey smiling face repot klik menu menu warung mboknarsi ayemtentrem via grabfoodid gofoodindonesia shopeefood id smiling face with smiling eyes dapat diskon tarik aplikasi aplikasi bayar via ovo go pay shopee pay ya kak winking face jam buka warung pagi jam 06 00 16 00 wib warung mboknarsi ayemtentrem jl honggowongso no 83 jayeng solo sore jam 16 00 20 00 wib warung ijo mboknarsi ayemtentrem jalan wirotamtomo gang wirotamtomo masuk 50 meter kiri jalan layan paket nasi dos minimal 10 pack ya kak winking face wa 0857 4276 0757 chat only"
"instagram",2021-08-24,21:57:00,"pasien pandemi obesitas risiko alami sakit parah banding pasien milik berat badan ideal lebih berat badan obesitas tingkat risiko sakit pandemi pasien pandemi sakit obesitas lansir jpnn com cenderung milik risiko sakit parah pasien berat badan ideal tingkat risiko kutip kompas com sebab obesitas sebab adang tubuh urang mampu tubuh lawan infeksi virus buruk kondisi pasien pandemi jaga berat badan meminimalisasi risiko rentan kena sakit lansir halodoc com pola makan sehat makan makan berigizi imbang rutin olahraga kontrol kalori cegah pemulihan obesitas konsumsi air hidrogen bukti ilmiah bantu cegah obesitas studi obesity a research journal 2012 judul molecular hydrogen improves obesity and diabetes by inducing hepatic fgf21 and stimulating energy metabolism db db mice teliti nyata air hidrogen manfaat bantu cegah nek obesitas tindak antiinflamasi urang stres oksidatif dapat manfaat air hidrogen bantu cegah obesitas hydro gen fontaine pem inhaler minum hydro gen fontaine pem inhaler inhalasi hasil kadar molekul hidrogen capai 1500 ppb sertifikasi internasional korea selatan"
"twitter",2021-07-11,21:56:00,"bandar lampung ppkm ya cegat ya arah tegineneng terima kasih gih"
"twitter",2021-07-05,15:44:00,"humastabessmg divhumas polri poldajateng polritvradio ppkm pemberlakuan batas giat masyarakat darurat tanggal 3 juli 2021 20 juli 2021 mari peran aktif laksana ppkm darurat patuh protokol sehat laksana 5m 3t divhumas polri poldajateng polritvradio"
"twitter",2021-08-04,19:01:00,"anggota dprd pekanbaru kompak bilang ppkm level 4 efektif"
"twitter",2021-08-12,11:14:00,"mardanialisera liputan6dotcom kontradiktif bijak pemerintah cipta kerumun habis kabor"
"twitter",2021-09-21,11:52:00,"senin tanggal 20 09 2021 personil polsek tanjung beringin laksana giat ops yustisi rangka terap prokes ppkm mikro kendali covid 19 jl merdeka desa pekan tanjung beringin c tanjung beringin"
"instagram",2021-07-09,18:34:00,"ahmad yinfa cendikia rombel 4 ikut mpls smasa 2021 didik ubah didik adab official omasbltr"
"twitter",2021-07-29,21:09:00,"malas ig erti ppkm thumbs down"
"instagram",2021-07-14,02:54:00,"pakai masker harga mati pakai masker mati astonished face astonished face astonished face astonished face astonished face emang sih takdir kuasa allah swt ya manusia butuh ikhtiar sehat jaga bahaya pandemi pemerintah bijak ppkm baik partisipasi ppkm cepat pandemi negara insyaa allah rindu damai pandemi crying face rindu bebas aktivitas crying face rindu teman teman seperjuangan sekolah kampus kantor crying face rindu sanak saudara kampung bertemu pandemi crying face sayat hati saudara saudara tinggal keluarga lalai loudly crying face saudara saudara tinggal wabah korban pandemi indonesia butuh orang tua keluarga butuh aset harga bangsa terus jalan bangsa depan butuh tahun bentuk aset nih laku cegah covid19 1 rumah urang intensitas rumah rumah olahraga beli butuh pokok penting urgent 2 masker rumah kudu pakai masker meminimalisir tular tular covid 3 cuci tang jaga bersih tang cuci tubuh bersih 4 hand sanitizer giat rumah 5 hindar kerumun hubung virus covid bentuk sebar sentuh kontak fisik boleh kerumun 6 hindar kontak langsung wajah gampang smiling face smiling face smiling face ayo berantas covid taat ppkm indonesia sehat indonesia sehat ekonomi bangkit person raising hand smiling face kemenparekraf r"
"instagram",2021-09-29,10:17:00,"admin kemnaker iya rekening himbara cair bsu nya surat terang aktif usaha"
"instagram",2021-07-11,19:15:00,"booking rumah langsung tambah discount 1 juta promo ppnbm wrapped gift beli mobil beaming face with smiling eyes free jasa servis 50 000 ribu dapat discount khusus mesan minggu kredit 6 cash back mantap stock batas surat jalan plat proses cepat pil nop free kaca film v kool talang air karpet bludru duduk plat dll backhand index pointing right new brio dp 20 juta backhand index pointing right mobilio dp 25 juta backhand index pointing right new brv dp 25 juta backhand index pointing right new hrv dp 45 juta backhand index pointing right new crv dp 100 juta stock batas info wa 081397417219 honda pondok indah"
"twitter",2021-08-16,00:29:00,"collegemenfess oh ya kak dewita cantik face blowing a kiss orang juang jalan suruh mundur kota njaluk opoke mbak kalo kota ppkm anjg covid tingkat kasihan"
"twitter",2021-07-17,21:44:00,"maximus syukur dangdutempire kurawa militannkri01 kurang nakes pasien lantar tinggal wajar ya hidup pilih pilih ppkm stop resiko tanggung teriak2 obat oksigen susah maksud"
"instagram",2021-09-18,14:31:00,"nya sih motor triumph syahlanixx raffi ruhul kak gunaone teja"
"twitter",2021-09-01,05:20:00,"ayo gerai vaksin merdeka polsek bekas selatan vaksinasi salah elemen menangani pandemi protokol sehat ayo vaksinasi capai herd immunity patuh prokes ppkm"
"instagram",2021-07-19,13:32:00,"minta follower solusi pemerintah ganti bijak ppkm usul 5 solusi moga dengar pemerintah"
"instagram",2021-07-27,18:01:00,"egilee sedepp fire"
"twitter",2021-07-27,13:41:00,"polisi satpol pp bubar demo tolak ppkm mikro balai kota ambon satumaluku id 2021 07 27 lag"
"twitter",2021-07-07,16:32:00,"cirebon puluh warga jaring operasi yustisi ppkm darurat rabu 7 7 2021 jaring operasi gelar tugas gabung kantor damkar kabupaten"
"twitter",2021-08-23,16:30:00,"ppkm tuntut kreatif perut ajar bikin cilok momsky hehehe beli emang2 cilok mah panda face"
"instagram",2021-07-07,20:55:00,"dekat semangat anak cantik red heart"
"instagram",2021-07-30,16:55:00,"siap buka ppkm darurat tanggal 2 agustus 2021 yuk kangen manta tentu jadwal libur agustus musim panas info reservasi hubung marketing 0812 8355 2007"
"youtube",2021-07-14,01:59:00,"masyarakat butuh kerja masyarakat kerja beli beras face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy psbb ppkm yasalam rakyat tau drama koreng ngpain coba nya kenyang"
"twitter",2021-07-15,22:54:00,"ppkm panjang bantu pemerintah 10jt kepala keluarga smiling face with heart eyes"
"twitter",2021-07-22,10:10:00,"polres bwi humaspoldajatim lupa vaksin man teman terap ppkm level4"
"youtube",2021-09-06,22:26:00,"cov id 2024"
"twitter",2021-10-07,19:57:00,"pemko pekanbaru target ppkm level 1 dprd satgas covid 19 tingkat patroli cakap pikir buat cakap shar es aw4qlb"
"twitter",2021-07-12,20:10:00,"deo novianto ppkm pelan pelan ku mati"
"instagram",2021-07-07,17:51:00,"ppkm wajib rumah hindar virus covid 19 ppkm mu jenuh down arrow yuk nge grill rumah mumpung promo 10 nih rumah pakai kurir ambil ya teman"
"instagram",2021-07-22,13:18:00,"here sih our favorit duo that c help minimize pores and tighten your skin lifting glow serum pore away spot treatment sparkles kombinasi lifting glow serum pore away spot treatment bahan utama formulasi khusus encang kerut kecil pori kulit cerah dizzy lifting glow serum sparkles liftonin xpress liftonin xpress bahan aktif 74 encang pori rata kerut 1 jam guna rutin encang kerut tahap hasil permanen kulit sehat cahaya sparkles actosome whitenol bahan cerah baik bukti verifikasi ilmiah korea jepang fungsi menghhambat muncul enzim tirosinase akibat kulit gelap hasil nyata guna rutin 18 suai jurnal dizzy pore away spot treatment sparkles pore away asal ekstrak pohon damar wangi lentisk pistacia lentiscus bantu rangsang produksi kolagen baik struktur kulit rusak kecil ukur pori pori halus scar kulit pemakaian 2 28 sparkles early boost kombinasi bahan aktif aqua glycerin jania rubens extract sodium carrageenan milik sifat anti aging bantu hilang keriput kerut wajah encang kulit hidrasi kulit lupa promo ppkm pori pori pesona beli produk lho beli bundling potong harga rp 30 000 loh tunggu yuk pesan bundling spesial ppkm ala glow klik link bio temu seller glow dekat red heart promo 10 25 juli 2021 money bag rp 220 000 normal price rp 250 000"
"twitter",2021-07-18,15:03:00,"cerita milik kedai kopi langgar ppkm penjara 3"
"twitter",2021-07-24,01:46:00,"phuwin tunggu selesai ppkm ye pond gua dada lo bunyi deg"
"twitter",2021-07-27,18:17:00,"ppkm panjang hubung"
"instagram",2021-09-22,20:22:00,"ya fitur baru honda vario autopilot"
"instagram",2021-08-21,08:14:00,"ayo gas gas lolos ya minat dm wa 0895323247675 lokasi sidoarjo jatim bantu kirim rainbow red heart yellow heart green heart blue heart purple heart lollipop follow akun yupucupang yunus yupucupang keizobetta info cupang baik trophy"
"twitter",2021-09-09,11:06:00,"masyarakat dampak pandemi masyarakat jalan ppkm wilayah wilayah kabupaten rembang jawa terima bantu 1 000 paket sembako anggota dpr r fraksi partai demokrat harmusa oktaviani"
