service,date,time,message,label
youtube,9/29/2021,12:10:00,Rindu ziarah ini menyiksaku.. kapan ppkm berhenti #ziarah #cianjur #covid19 #ppkm,4
youtube,7/18/2021,15:58:00,Duit duit  semua jadi kesempatan mau di jadiin duit,1
twitter,7/1/2021,20:48:00,Habis closingan dan ngeliat jalanan Jakarta sepi senyap. \n\nBerasa udah berlangsung PPKM Darurat.,0
instagram,7/14/2021,21:37:00,"Diam dulu di rumah termasuk klo mau olahraga, stay safe dan keep the 5M protocol <U+0001F637><U+26D1><U+FE0F>\n\n<U+0001F6E9><U+FE0F><U+0001F4F8> Dji Mavic Air\n\n#bandung #soreang #ppkm #sijalakharupat #topdownview #fromabove #birdeyeview #bybirdeye #hellorooftops #topdowndroneshots #drone #aerial #mavic #rooftop #stadionsijalakharupat #shotondji #djindonesia #droneoftheday #dronestagram  #dronestation  #dronedaily  #droneporn #dronephotograhy  #droneofficial  #droneheros #agameofdrones  #dronefly #aerialphotography #stadium #stadion #ppkm",3
twitter,8/8/2021,09:36:00,@HKerambitan @TabananPolres Isolasi terpusat untuk keselamatan kita bersama,5
twitter,7/23/2021,20:07:00,@infodrakor_id Makin mirip appay jay wkwk,2
twitter,8/25/2021,18:16:00,Ayo bersama kita dukung kebijakan pemerintah dalam mencegah penyebaran covid-19 dengan mematuhi kebijakan PPKM\n\n#ProkesCegahPandemi\nVaksinasi Efektif Melindungi https://t.co/glUfdLxxql,3
twitter,7/18/2021,21:20:00,"@collegemenfess nonton, belajar bhsa inggris, udah gtuu doanggggg<U+0001F642> pingin produktif tpi gatau harus ngapain<U+0001F974><U+0001F974><U+0001F974>",4
twitter,8/16/2021,21:32:00,"Kadang bingung sama temen yang sambat soal PPKM, padahal storynya ngopi, ngegame, jalan<U+00B2> :(",2
instagram,8/16/2021,23:47:00,Lupakan saja....,1
twitter,7/16/2021,05:01:00,@UyokBack Memang Manusia racun ubur ubur..,4
instagram,8/10/2021,22:00:00,"Hadeh .. bukannya apa2 tapi yg ketipu juga kurang smart ... semoga si penipu cepat2 taubat dah, dan yg tipu semoga rejekinya bertambah banyak dan please jangan lagi percaya yg beginian ... mending investasi emas/saham/tanah",1
twitter,7/18/2021,16:22:00,@FerdinandHaean3 Jilaattttt teruussss fer....<U+0001F61D><U+0001F61D><U+0001F602><U+0001F602><U+0001F602><U+0001F923><U+0001F923><U+0001F923>,2
twitter,7/25/2021,22:56:00,@dinduptrv Alhamdulillah si bapak dapet yg penumpang hasilnya dapet duit buat anak istri. Lo cuma bisa posting doang bantu kagak. Klo mau lo kasih duit si bapak biar pulang biar bisa ikutin aturan ajaib dari pemerentah dong.,3
twitter,8/3/2021,22:56:00,Ppkm akan diperpanjng sampai level pedas jeletot melotot,4
twitter,7/21/2021,06:26:00,"@tempodotco Seperti bagi2 telor .. pikirkan, bagaimana mencukupi kebutuhan sembako terdampak covid yang selama ini di handling oleh Pemda. Skrg Pemda udah angkat bendera putih. Pikirkan itu nisanak. Jangan kebanyakan drama",5
twitter,7/18/2021,19:32:00,@Ghurem2 Plin plan bigini sih. Ora ada semangat dan optimisme gitu. Lieur,1
twitter,7/27/2021,18:21:00,"Buka tiktok isi fyp Kuroko No Basket semua, fix sih bakal nonton. Padahal dulu paling ga suka anime genre olahraga, tapi semenjak zaman PSBB hingga PPKM sudah mampu menamatkan Haikyuu. Setelah voli lanjut basket, enaknya lanjut ke renang atau panahan kayaknya",1
twitter,7/15/2021,12:31:00,"@dagangkorea lamaa, box kita dr tgl 8 baru rilis cukai kmrn",2
twitter,7/4/2021,16:39:00,"@_Kheri_ Tapi pak, kami disini di Indonesia baru saja PPKM darurat pak",2
twitter,8/23/2021,09:03:00,@tajembanget Emng parah si ppkm,4
instagram,9/20/2021,18:02:00,Berkah ya mak,3
twitter,7/17/2021,21:28:00,@KompasTV @susipudjiastuti Salpok sama bintang merah....,0
twitter,7/15/2021,14:03:00,"Kalo bagi saya, PPKM jangan diperpanjang! Bebasin aja apa maunya masyarakat, kalo ada yg tertular n mati ya di kubur, anggap aja udah takdir, kalo diperpanjang diduga akan ceos n makin buruk, saya yakin pemerintah udah berbuat, tapi serba salah, Indonesia itu banyak kepentingan!",1
twitter,7/6/2021,17:17:00,PPKM= Perkumpulan Pemuda Kurang Motivasi,4
twitter,9/9/2021,15:35:00,"Walaupun Jakarta dsk sudah PPKM level-3, kita tetap harus Pakai <U+0001F637> Masker, <U+0001F9FC> Cuci Tangan, Jaga Jarak dan tentunya <U+0001F489> Vaksin! \n\nUntuk menjaga area kerja kamu tetap higienis, kamu bisa gunakan DR Water Electrolyte Disinfectant yang hari ini Flash Sale hanya 70 ribuan saja! <U+0001F609> https://t.co/aF7kVAdyrb",5
twitter,7/5/2021,10:55:00,"Sosialisasi Edukasi Masyarakat terkait Pemberlakuan PPKM Darurat, diterapkan untuk keselamatan bersama di tengah meningkatnya kasus Covid-19.\n\n#PPKMdanTetapVaksinasi\nSosialisasi Edukasi Masyarakat https://t.co/SNi9fXs2RL",5
twitter,8/20/2021,11:57:00,jare roji ppkm diperpanjang sampai kita tua sampai jadi debuuuu,4
instagram,8/26/2021,12:23:00,Suka banget sama serabi,0
twitter,7/11/2021,21:56:00,katanya bandar lampung ikut ppkm ya? Kira2 ada cegatan ga ya dr arah tegineneng? Makasi yg udh mau jawab. Geh!,2
twitter,8/12/2021,11:14:00,"@MardaniAliSera @liputan6dotcom Kontradiktif dengan kebijakan pemerintah, penting ciptakan kerumunan habis itu kabooorrr....",4
twitter,7/29/2021,21:09:00,males ke ig banyak yang ngerti ppkm <U+0001F44E><U+0001F3FB>,5
instagram,7/14/2021,02:54:00,"PAKAI MASKER HARGA MATI\nTIDAK PAKAI MASKER BISA MATI\n\n<U+0001F632><U+0001F632><U+0001F632><U+0001F632><U+0001F632>\n\nEmang sih Semua takdir ada pada Kuasa Allah SWT, ya kita selaku manusia butuh ikhtiar untuk tetap sehat dan terjaga dari bahaya pandemi.\n\nPemerintah membuat kebijakan PPKM untuk kebaikan bersama, ikut serta kita partisipasi dalam PPKM ini cepat pula lah berakhirnya pandemi di Negara kita. Insyaa Allah\nGak rindu kita dengan kedamaian sebelum pandemi ? <U+0001F622>\nGak rindu kita dengan kebebasan dalam beraktivitas ? <U+0001F622>\nGak rindu kita dengan teman-teman seperjuangan kita di sekolah, di kampus, di kantor ? <U+0001F622>\nGak rindu kita dengan sanak saudara yang jauh di kampung dan tidak bisa bertemu karena pandemi ? <U+0001F622>\n\nDan yang paling menyayat hati saudara-saudara kita yang ditinggal keluarganya karena kelalaiannya sendiri <U+0001F62D>\n\nBanyak saudara-saudara kita yang meninggal karena wabah ini, jangan lah lagi kita yang menjadi korban pandemi ini.\nIndonesia masih butuh kita, Orang Tua dan Keluarga kita juga masih butuh kita ...\nKita yang sekarang adalah aset berharga bangsa untuk meneruskan perjalanan bangsa kita kedepannya ...\nButuh waktu bertahun-tahun untuk membentuk aset seperti kita.\n\nNih cara yang bisa kita lakukan untuk mencegah covid19 :\n1. Di Rumah Aja\nMengurangi intensitas kita keluar rumah. Sesekali boleh keluar rumah untuk olahraga, membeli kebutuhan pokok dan untuk kepentingan yang urgent.\n2. Gunakan Masker\nNah, kita yang mau keluar rumah kudu pakai masker. Guna meminimalisir menularkan atau tertularnya covid.\n3. Mencuci Tangan\nUntuk tetap menjaga kebersihan, selain tangan yang harus di cuci bagian tubuh lainnya juga perlu dibersihkan.\n4. Gunakan Hand Sanitizer\nBaik kita gunakan untuk berkegiatan di luar rumah.\n5. Hindari Kerumunan\nBerhubung virus covid ini bentuk penyebarannya dengan sentuhan kontak fisik maka kita tidak dibolehkan untuk berkerumun.\n6. Hindari Kontak Langsung Dengan Wajah\n\nGampang kan caranya <U+263A><U+263A><U+263A>\nJadi, Ayo kita sama-sama berantas covid dengan menaati PPKM untuk Indonesia menjadi sehat.\n\nSiapa yang mau INDONESIA SEHAT dan EKONOMI BANGKIT katakan SAYA<U+0001F64B>\n\nSAYAAAAAA<U+263A>\n\n@kemenparekraf.ri \n#saatnyarekreasi #season2 #edisi6 #kemenparekraf #bangkitbersamakemenparekra #wonderfulindonesia #InDOnesiaCARE #ppkm",5
twitter,8/16/2021,00:29:00,"@collegemenfess Oh gitu ya kak dewita cantik<U+0001F618>, orang udah berjuang mau jalan malah disuruh mundur karena JAUH KE KOTA. NJALUK TAK OPOKE MBAKNYA <U+0001F642>. Ga ada masalah kalo ke kota, lah ini masi ppkm anjg sama covid meningkat apa ga kasihan -_-",4
twitter,7/17/2021,21:44:00,"@maximus_syukur @DangdutEmpire @kurawa @militannkri01 Kl kekurangan nakes, dan pasien terlantar hingga meninggal, wajar lah ya? Hidup itu pilihan kan? Juga krn kita milih ppkm di stop, artinya semua resiko kt tanggung kan? Gak teriak2 obat dan oksigen susah? Gt kan maksudnya?",1
twitter,9/1/2021,05:20:00,"AYO DATANG KE GERAI VAKSIN MERDEKA POLSEK BEKASI SELATAN \n\nVaksinasi juga menjadi salah satu elemen penting dalam menangani pandemi selain protokol kesehatan, ayo vaksinasi, kita capai herd immunity.\n\nPatuhi Prokes PPKM https://t.co/NKbIUDPMiY",5
instagram,7/19/2021,13:32:00,"Karena permintaan banyak follower untuk solusi bagi pemerintah untuk pengganti kebijakan PPKM ini saya usulkan 5 solusi ini, semoga didengar oleh pemerintah!\n#solusipandemi #solusicovid #covid #ppkmdarurat #ppkm #penggantippkm #ppkm",1
instagram,7/27/2021,18:01:00,Egilee sedepp<U+0001F525>,0
twitter,8/23/2021,16:30:00,Selama ppkm dituntut kreatif sama perut. Diajarin bikin cilok sama momsky. Hehehe gak usah beli ke emang2 cilok skrg mah<U+0001F43C> https://t.co/pMceWrqTWw,1
instagram,7/7/2021,20:55:00,"Yang baik pasti di dekatkan, semangat anak cantik <U+2764><U+FE0F>",3
youtube,7/14/2021,01:59:00,Yg masyarakat butuh itu kerja pak. Kalau masyarakat kerja juga bisa beli beras.<br>Ada ada aja pak<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>. Segala psbb. Ppkm . Yasalam . Rakyat udah tau pak drama korengan ini . Mau ngpain lg coba. Memang nya belum kenyang??,4
twitter,7/15/2021,22:54:00,Gpp ppkm di perpanjang asal bantuan pemerintah 10jt per kepala keluarga<U+0001F60D>,4
twitter,7/22/2021,10:10:00,"@Polres_Bwi @HumasPoldaJatim Jangan lupa vaksin man teman\n,\n,\n#DistribusiTepatSasaran\nPenerapan PPKM Level4",5
youtube,9/6/2021,22:26:00,Cov id ampe 2024,4
twitter,10/7/2021,19:57:00,"Pemko Pekanbaru Target PPKM Level 1, DPRD Minta Satgas Covid-19 Tingkatkan Patroli - Cakaplah - Berpikir Berbuat Bercakap shar.es/aW4QLb",5
twitter,7/12/2021,20:10:00,@deo_novianto Ppkm \nPelan pelan ku mati,4
instagram,7/7/2021,17:51:00,"Selama PPKM ini kita diwajibkan nggak keluar rumah agar terhindar dari virus covid 19,\nsupaya PPKM mu ngga jenuh<U+2B07><U+FE0F>\n\nYuk nge grill di rumah,mumpung ada PROMO 10% nih<U+0001F929>\n\nBuat yang gamau keluar rumah,bisa pakai kurir buat ambil yaa temen"" <U+0001F970>\n\n#santoribeef \n#premiumbeefmadiun \n#premiumgrill \n#wagyubeef \n#grillathome \n#halalmeat \n#ppkm \n#kikkomansauce \n#meathousemadiun \n#meatlovers",5
twitter,7/24/2021,01:46:00,"phuwin : tunggu selesai ppkm ye pond, gua pukul dada lo sampe bunyi deg",5
twitter,7/27/2021,18:17:00,PPKM aja di perpanjang masa hubungan kita engga,2
twitter,7/28/2021,15:52:00,"PPKM Diperpanjang, Melki Laka Lena Apresiasi Langkah Pemerintah https://t.co/NRlZsZYCng",3
twitter,7/26/2021,15:16:00,@tulipstudy aku juga katanya abis ppkm :(,0
twitter,7/16/2021,14:38:00,"ppkm, bikin kerja sore-malem.\ntidur jam 7 pagi bangun jam 2 siang. ga sehat.",4
youtube,7/6/2021,12:36:00,Situasi sangat sepi ya pak sunrise.. semoga habis ppkm bisa rame kembali,2
youtube,7/15/2021,15:26:00,Gmn nasib restoran bebek y ?,0
twitter,8/6/2021,00:59:00,Keseharian saat ppkm + jomblo :\n- bangun siang\n- makan\n- main hp\n- tidur sore\n- bangun malem\n- makan\n- maen hp\n- begadang maen hp \nANJ LAH <U+0001F5FF>,2
twitter,7/11/2021,17:59:00,@94bigbaby boleh kan udh kelar ppkm ituu,3
twitter,8/22/2021,15:28:00,@diskominfomedan Min tanya.. PPKM masih berlanjut ya?,1
twitter,7/3/2021,20:53:00,@DiniHrdianti @rolfStebbens4 Mari kita dukung program PPKM \n\ndan  selalu taati protokes <U+0001F929><U+0001F637>,5
twitter,8/16/2021,23:50:00,@CNNIndonesia Sekali lagi di perpanjang dapet piring cantik nan menawan pastinya,2
twitter,7/31/2021,21:31:00,PPKM\n( Pelan- Pelan Kamu Menghilang),2
twitter,8/16/2021,11:46:00,PPKM Darurat mantab https://t.co/EtvviBrqgp,2
twitter,7/16/2021,19:56:00,@HeyBudie baru dimulai udah selesai aja,2
twitter,7/19/2021,20:10:00,"@ridwankamil Saya hanya berharap pra petugas keamanan dan satpol PP bertindak sopan, memberikan arahan secara baik"". PPKM ini bukan melumpuhkan dan menutup penghasilan masyarakat (pedagang/berdagang), tapi hanya waktu operasional dibatasi dan aturan sesuai prokes. Betul pak? \nMiris meliht ini",5
twitter,7/17/2021,22:54:00,@jansen_jsp Klo caranya msh spt skrg saya yakin seyakin yakinnya PPKM Darurat tdk akan berhasil.,1
twitter,8/4/2021,02:23:00,@convomf Pelan pelan kamu menghilang,0
youtube,8/18/2021,23:38:00,"Bang Denny , saya hanya sekedar mengeluarkan uneg2 yg perlu saya sampaikan melalui Channel ini. Selalu yg menjadi sorotan dalam masa pandemi ini yg kena dampak paling parah se olah2 hanya Ojek Online dan pedagang kecil , pelaku2 di Pasar Tradisional. Nah , ini yg perlu saya tanyakan , pasar tradisional sdh di beri kelonggaran , tapi kayak Restaurant sangat di perketat sekali , bedanya apa ? Padahal di pasar sendiri kerumunan orang lebih banyak. Saya sebagai karyawan Restaurant dan teman2 kena dampak ekonomi luar biasa , sampai teman saya sebagai Pramusaji harus menjual barang yg ada di rumahnya untuk buat makan karena kerjanya 15 hari dlm sebulan ( penghematan biaya operasional Restaurant) . Dan saya sendiri sebagai penghibur tamu di kala makan malam / Player , total sdh tidak punya penghasilan sama sekali. Padahal kondisi Restaurant tdk seramai seperti di pasar . Tempat saya bekerja di himbau tutup jam 20.00 , otomatis musik di tiadakan. Saya dan teman2 saya yg se profesi sebagai Player jadi bertanya , apa Virus Covit 19 ini hanya menularkan malam hari saja setelah di atas jam 8 malam. Kalau di terus2kan kondisi ini , kami bisa mati bukan gara2 Covid , tapi gara2 nggak bisa makan. Tolong Bang Denny , sampaikan uneg2 kami ke Pemerintah.",2
twitter,7/27/2021,20:54:00,"kalo bapa w dah sembuh sm ppkm udah kelar, mau night drive ah<U+0001F60D>",5
twitter,7/25/2021,11:39:00,@vopeworldian Ppkm bubar,4
twitter,7/7/2021,20:17:00,Kemaren di pertigaan m20 masih mending lah ya ada pembatasnya. Dan sekarang baru 5 hari PPKM dah kaga ada tuh palang. ini gimana sih aturannya gw bingung <U+0001F605>,1
twitter,9/7/2021,06:51:00,"PPKM di Padang diperpanjang sampai 20 Sept, serah dah, urang Padang mada2, di pasa pedagangnyo banyak yg ndk pakai masker <U+0001F923><U+0001F923><U+0001F923>",1
twitter,7/30/2021,17:58:00,<U+0001F469> : kamu jangan kayak PPKM yaa\n<U+0001F9D1> : kenapa?\n<U+0001F469> : Pernah Punya Kemudian Menghilang,2
twitter,7/18/2021,08:02:00,"@e100ss Ini mah klasik. 'Pemicunya perekonomian ambrol' mau dibatasin seketat apapun, rangorang bakal tetap selundap selundup keluar nyari nafkah",4
youtube,7/6/2021,13:37:00,Mana ada karyawan di paksa kerja pak jaman sekarang....... Malah mereka butuh kerja......<br><br>Yg lapor ya palingan manusia2 dengki dan pengangguran doank.....,2
twitter,7/15/2021,09:16:00,@Joker_Ulosowo PPKM Mak Erot,0
youtube,8/9/2021,14:19:00,Lama kelamaan Rakyat mati laperrr bosku..,4
twitter,10/22/2021,00:15:00,Kasus covid di luar negeri melonjak lagi ya? Yuk bisa yuk refreshing dl sebelum ppkm level 10.,2
youtube,8/16/2021,22:59:00,Pak pemerintah yang terhormat.<br>selama PPKM kami rakyat kecil yg terkena dampak ppkm kesusahan nyari rezeki.!!! Mau makan apa kalo diperpanjang terus kayak gini,4
twitter,7/3/2021,10:57:00,PPKM day 1 berkebun<U+0085>\n.\n.\n.\nGak PPKM tiap weekend ya berkebun ya perasaan <U+0001F644> https://t.co/aWOQjBY5xI,1
twitter,8/4/2021,21:05:00,@detikcom Kapan  hari H nya Ya mau nonton ah,0
twitter,7/2/2021,20:55:00,"*jabodetabek kena ppkm\nyesss wfh\n*""mas mulai besok kamu, saya tempatin di cabang yang cikupa ya""\n\nOWALAH JANCOK KAB<U+0085> https://t.co/P9687VKpAt",2
youtube,9/27/2021,13:18:00,Ke mall jgn lama2 ya banyak resiko ditempat tertutup gitu apalagi kl bawa bayi jgnlah    .. pendapat saya gaes salam sehat,5
twitter,10/20/2021,07:51:00,@X1W4R Nurut PPKM ok,3
twitter,7/25/2021,20:35:00,@infobandung Perpanjangan weh hayoh nepi curug panganten cerei,2
instagram,7/13/2021,22:00:00,Kasihan <U+0001F97A>.. Tukang bentor didorong dan dikasih kempes ban nya lalu disuruh pulang. \n.\nLELANG BRANDED MULAI 0 RUPIAH @crazylelang\n\nLokasi : Toraja\n#makassarhitskekinian #makassar #toraja #satpolpp #ppkm #corona #ppkm,2
twitter,7/13/2021,04:11:00,"Sebenarnya, PPKM darurat di Jakarta sampai kapan ya? Ini kata Pemerintah. news.detik.com/berita/d-56406<U+0085>",1
twitter,7/10/2021,23:27:00,"@OposisiCerdas Yang namanya Takbiran itu di masjid bukan dirumah. Paham \n\nPPKM Darurat, Menag Imbau Takbiran Dan Salat Idul Adha Di Rumah Masing-masing\noposisicerdas.com/2021/07/ppkm-d<U+0085>",2
twitter,7/2/2021,19:12:00,Ppkm darurat,0
twitter,7/9/2021,17:14:00,@VIVAcoid Adminya pengen jd corongnya si Pinokio b3go,4
twitter,10/9/2021,09:18:00,@ruhutsitompul Lamli cuma benalu bangsa...<U+0001F92A>,4
instagram,7/15/2021,17:06:00,Cari orang orang yg bijaksana untuk menempatkan posisi yg berhubungan dg masyarakat... Apapun jabatannya tetep balik lagi ke masyarakat...kalau sudah lengser atau pensiun sama seperti kita lagi rakyat biasa...,1
twitter,9/15/2021,05:56:00,@Mdy_Asmara1701 Lah bukannya dilarang Demo saat PPKM<U+0085>..<U+0001F607> @_ekokuntadhi @grace_nat @msaid_didu @FerdinandHaean3 @fadlizon @Dennysiregar7 @ChusnulCh__ @jokowi https://t.co/dX4fb5xcm4,5
twitter,10/29/2021,06:02:00,"Habis bikin Bandara baru dng dana triliunan, banyak investor bikin hotel plus area komersial disekitar Bandara, pengelola obj.wisata berbenah, after lu bikin PPKM beruntun tiada henti, bisnis kopat-kopit, wajib PCR&amp;Vaksin, terus lu ngarep Bandara rame ?, otak lu dimana nyet..? https://t.co/dDEGl3MWVm",4
instagram,7/14/2021,17:21:00,Mau kan ????\n\n#coffee #cafelatteart #latteart #cappucino #punclut #lembang #cafebandung #cafelembang #cozy #goodmood #kandangsapi  #kuliner #kulinerbandung #happyjuly #ppkm #psbb #lembangbandung #hangout #takeaway #dirumahaja #psbb,0
youtube,8/7/2021,10:51:00,"Assalamualaikum,, sangat terhibur host lagunya asli bikin ngakak ,, lucu tapi berisi tentang PPKM dan pandemi lk4",2
twitter,7/6/2021,09:41:00,Patuhi Aturan Selama PPKM Darurat !\nSemoga Kita Selamat Dari Covid-19. https://t.co/ECPIu23HUK,5
twitter,10/10/2021,20:26:00,@ikemaumain Ppkm undangan terbatas,2
twitter,7/20/2021,00:36:00,"Slaen keuntungan dari iklan juga pelaku bakal bisa ngejual data2 para warga yg udah terlanjur ngisi formulir dr website abal2nya,\nHati2 ya skaar klo mau ngisi data diri ke swatu website, cek dulu dg tliti https://t.co/w32DC0SXkm",1
instagram,9/19/2021,21:36:00,"@rinyzee2 aku plat ganjil, km?",0
instagram,8/16/2021,22:35:00,Paket ketengan hingga 7 minggu,0
twitter,7/1/2021,17:41:00,@erwandifirza Abis lite jadi ppkm pro terus ppkm pro max,2
twitter,8/12/2021,20:54:00,@kurojeno waduh kak lg ppkm nih waduhhhh,0
twitter,9/11/2021,18:51:00,"@todayisel ih, pengen jdi calon misdinar. tapi gabisa latihan karena ppkm. <U+0001F62D>",2
twitter,7/16/2021,17:38:00,"Gegara PPKM seorang menko sempat2 nya nonton sinetron yg lagi booming, IC, dan malah ikutan nyinyiri skenario nya yg dianggap terlalu membodohi publik dlm masalah hukum pidana\n\nDia kira aparat hukum sekarang juga apa nggak sedang membodoh bodohi publik mengenai Gakkum\n\n<U+0001F602>",4
twitter,10/19/2021,12:45:00,"melaksanakan  patroli Woro Woro dan operasi masker : \n1.agar selalu mematuhi 5M \n2.himbauan kpd masy ttg \n- Intruksi Bupati Cilacap No 15 melu 2021 Tanggal 15 Juni 2021,Ttg Perpanjangan PPKM Berbasis Mikro &amp; Pengoptimalan Posko Penanganan Covid 19 di Kabupaten Cilacap https://t.co/o5quCK9FEn",5
youtube,9/23/2021,21:27:00,Akibat PPKM setiap hari makan pisang<U+0001F62D>#short video# Akibat Corona dan PPKM aku hanya bisa makan pisang sehari sekali <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>,0
twitter,7/12/2021,16:17:00,"orang kaya teriak prokes, yg lagi susah teriak lapar ga kalian dengerin <U+0001F937> it's ok ppkm dijalankan tp dana bantuan buat para pengusaha kecil kalian biayai. udah mau sebulan lebih ppkm di perketat gini",1
twitter,9/3/2021,09:17:00,"@sinok_Veei Alasan belanja mobil dan baju krn dah dianggarkan jauh hari..\nRakyat langgar ppkm buat cari pemasukan bisa juga donk pake alasan sama..\nMisal..dah kredit motor, mobil,rumah etc jauh2 hari .",2
instagram,8/9/2021,23:36:00,Macam bapak kau yg punya negara ini...suka2 Kau az ya bodat tua,4
twitter,8/16/2021,21:53:00,"@Shellaemeliana1 Bagaikan di gembok dalam kardus,, wkwkwk",2
twitter,7/15/2021,20:49:00,@ridhotps @carosimanuels ini promonya PSBB paket studio bareng bareng<U+0001F970><U+0001F970><U+0001F970><U+0001F970> kyut pdhl skrg PPKM<U+0001F642> https://t.co/AOOUCmVoYP,0
twitter,7/21/2021,17:58:00,"PPKM\nPPKM Level 1\nPPKM Level 2\nPPKM Level 3\nPPKM Level 4\nPPKM SEASON 2\n""PPKM 3 PERIODE\nNYATAKAN KARANTINA COK ,TANGGUNG TUH BAHAN PANGAN RAKYAT""",4
instagram,7/5/2021,19:45:00,"Hello<U+00A0>#WaiPeople\nKarena adanya PPKM atau Pemberlakuan Pembatasan Kegiatan Masyarakat, kami menerapkan Jam Operasional baru yaitu 08.00 pagi hingga 20.00 malam.\n\nBerlaku selama tanggal 3 hingga 20 Juli 2021.\n\nUntuk<U+00A0>#WaiPeople<U+00A0>masih diperbolehkan Dine in dengan persyaratan menjaga jarak. Peraturan bisa berubah sewaktu<U+00B2> jika ada pemberitahuan lebih lanjut.\n\nWe still give you the best service! Get your coffe guys!\n\n#ppkm<U+00A0>#waicoffee<U+00A0>#WaiPeople<U+00A0>#ycoffee<U+00A0>#kopimalam<U+00A0>#kopipagi<U+00A0>#coffeshoptulungagung<U+00A0>#coffeeshop",5
instagram,8/9/2021,20:51:00,Get well soon negriku,2
instagram,9/2/2021,11:26:00,siram lagi donk matanya biar tau rasa,4
